Plant.Id	Plant.Name	State.ID	Latitude	Longitude	Fuel 	Prime.Mover	Cooling.System	CHP 	Generation.(MWh) 	Consolidated.Description	Area.ID
703	Bowen	GA	34.1256	-84.9222	CL	ST	RTND	N	15975305.17	1	10
6257	Scherer	GA	33.0606	-83.8075	CL	ST	RTND	N	18894545.75	1	10
10673	AES Hawaii	HI	21.303419	-158.106528	CL	ST	RTID	Y	1481909.044	1	11
1082	Walter Scott Jr Energy Center	IA	41.18	-95.8408	CL	ST	MULTI	Y	10799462.39	1	12
1081	Riverside	IA	41.54	-90.4481	CL	ST	ON	Y	635836.005	1	12
1073	Prairie Creek	IA	41.944039	-91.639167	CL	ST	ON	Y	703370.002	1	12
1048	Milton L Kapp	IA	41.8081	-90.233611	CL	ST	ON	N	787812.997	1	12
1167	Muscatine Plant #1	IA	41.3917	-91.0569	CL	ST	ON	Y	958600.004	1	12
1104	Burlington (IA)	IA	40.7412	-91.116667	CL	ST	ON	N	1122914.048	1	12
1047	Lansing	IA	43.3359	-91.1675	CL	ST	ON	N	1328875.993	1	12
1091	George Neal North	IA	42.299794	-96.361707	CL	ST	ON	N	3342136.964	1	12
7343	George Neal South	IA	42.3006	-96.3617	CL	ST	ON	Y	4323333.046	1	12
10864	Archer Daniels Midland Cedar Rapids	IA	41.9221	-91.6875	CL	ST	RTID	Y	941471.997	1	12
6254	Ottumwa	IA	41.0961	-92.555833	CL	ST	RTID	N	2632396.017	1	12
6664	Louisa	IA	41.3181	-91.0931	CL	ST	RTID	N	4970028.954	1	12
10223	AG Processing Inc	IA	42.665941	-93.902606	CL	ST		Y	341	1	12
10861	Archer Daniels Midland Des Moines	IA	41.624438	-93.584515	CL	ST		Y	23694	1	12
10855	Cargill Corn Milling Division	IA	41.1386	-92.6467	CL	ST		Y	90563.012	1	12
54690	Amalgamated Sugar LLC Nampa	ID	43.6058	-116.5753	CL	ST		Y	39954	1	13
976	Marion	IL	37.619747	-88.953114	CL	ST	OC	N	1714574.046	1	14
963	Dallman	IL	39.754803	-89.602389	CL	ST	OC	N	2346720.989	1	14
861	Coffeen	IL	39.0586	-89.4031	CL	ST	OC	N	5250486.032	1	14
6017	Newton	IL	38.9361	-88.2781	CL	ST	OC	N	6726876.005	1	14
874	Joliet 9	IL	41.4931	-88.1153	CL	ST	ON	N	1126329.022	1	14
892	Hennepin Power Station	IL	41.3028	-89.315	CL	ST	ON	N	1686603.039	1	14
883	Waukegan	IL	42.3833	-87.8133	CL	ST	ON	N	2785108.03	1	14
898	Wood River	IL	38.8639	-90.1347	CL	ST	ON	N	3138835.99	1	14
856	E D Edwards	IL	40.5958	-89.6631	CL	ST	ON	N	3713710.999	1	14
884	Will County	IL	41.6334	-88.0629	CL	ST	ON	N	4072413.993	1	14
384	Joliet 29	IL	41.494636	-88.123827	CL	ST	ON	N	5061425.962	1	14
876	Kincaid Generation LLC	IL	39.590556	-89.496389	CL	ST	ON	N	6195907.037	1	14
887	Joppa Steam	IL	37.2094	-88.858889	CL	ST	ON	N	7171321.981	1	14
6016	Duck Creek	IL	40.4663	-89.9841	CL	ST	RC	N	2237999.018	1	14
879	Powerton	IL	40.5408	-89.6786	CL	ST	RC	N	8511424.034	1	14
889	Baldwin Energy Complex	IL	38.205	-89.8544	CL	ST	RC	N	11701587.57	1	14
10865	Archer Daniels Midland Decatur	IL	39.870074	-88.890756	CL	ST	RTID	Y	1168743.005	1	14
891	Havana	IL	40.2797	-90.08	CL	ST	RTID	N	2522610.043	1	14
55856	Prairie State Generating Station	IL	38.279167	-89.666944	CL	ST	RTID	N	9664791	1	14
10867	Tate & Lyle Decatur Plant Cogen	IL	39.84919	-88.931944	CL	ST		Y	290418.4	1	14
990	Harding Street	IN	39.711319	-86.196867	CL	ST	MULTI	N	3758618	1	15
994	AES Petersburg	IN	38.5281	-87.2525	CL	ST	MULTI	N	11266231.37	1	15
1043	Frank E Ratts	IN	38.5201	-87.2662	CL	ST	ON	N	600019.004	1	15
991	Eagle Valley (IN)	IN	39.48517	-86.4183	CL	ST	ON	N	744963.003	1	15
1008	R Gallagher	IN	38.2636	-85.8381	CL	ST	ON	N	896798.002	1	15
1012	F B Culley	IN	37.9111	-87.3275	CL	ST	ON	N	1532180.007	1	15
1010	Wabash River	IN	39.53	-87.4247	CL	ST	ON	N	1888467.956	1	15
995	Bailly	IN	41.645	-87.1225	CL	ST	ON	N	2161416.993	1	15
988	Tanners Creek	IN	39.0814	-84.8594	CL	ST	ON	N	2602639.969	1	15
1001	Cayuga	IN	39.9242	-87.4244	CL	ST	ON	N	4520671.985	1	15
6705	Warrick	IN	37.915	-87.3328	CL	ST	ON	Y	5511831.953	1	15
983	Clifty Creek	IN	38.7378	-85.4206	CL	ST	ON	N	6062462.992	1	15
6213	Merom	IN	39.0694	-87.5108	CL	ST	RC	N	6444869.045	1	15
6113	Gibson	IN	38.372222	-87.765833	CL	ST	RC	N	17747363.5	1	15
6137	A B Brown	IN	37.9053	-87.715	CL	ST	RTID	N	3046024.963	1	15
6085	R M Schahfer	IN	41.2164	-87.0261	CL	ST	RTID	N	7566221.026	1	15
997	Michigan City	IN	41.7208	-86.9086	CL	ST	RTND	N	2738999.003	1	15
6166	Rockport	IN	37.9256	-87.0372	CL	ST	RTND	N	16717089.82	1	15
1024	Crawfordsville Power Plant	IN	40.048889	-86.8992	CL	ST		N	21368	1	15
1040	Whitewater Valley	IN	39.8028	-84.8953	CL	ST		N	45133	1	15
1032	Logansport	IN	40.758858	-86.360289	CL	ST		N	114789	1	15
1295	Quindaro	KS	39.1492	-94.6381	CL	ST	ON	N	1071102.982	1	16
6064	Nearman Creek	KS	39.1681	-94.6975	CL	ST	ON	N	1375228.986	1	16
1241	La Cygne	KS	38.3481	-94.6456	CL	ST	RC	N	7939783.024	1	16
1252	Tecumseh Energy Center	KS	39.0539	-95.568889	CL	ST	RTID	N	1328608.042	1	16
108	Holcomb	KS	37.9308	-100.9725	CL	ST	RTID	N	1981862.044	1	16
1250	Lawrence Energy Center	KS	39.0072	-95.269167	CL	ST	RTID	N	3673823.991	1	16
6068	Jeffrey Energy Center	KS	39.286453	-96.117231	CL	ST	RTID	N	11466660.95	1	16
1364	Mill Creek (KY)	KY	38.0525	-85.9103	CL	ST	MULTI	N	8715108.969	1	17
1385	Dale	KY	37.8806	-84.2619	CL	ST	ON	N	16062	1	17
1357	Green River	KY	37.3636	-87.1214	CL	ST	ON	N	1027825.996	1	17
1384	Cooper	KY	36.9981	-84.5919	CL	ST	ON	N	1029439.997	1	17
1381	Kenneth C Coleman	KY	37.9631	-86.7911	CL	ST	ON	N	1064462.046	1	17
1374	Elmer Smith	KY	37.7942	-87.0608	CL	ST	ON	N	2370785.995	1	17
1363	Cane Run	KY	38.1831	-85.8892	CL	ST	ON	N	2503871.968	1	17
1379	Shawnee	KY	37.1517	-88.775	CL	ST	ON	N	7030667.029	1	17
6071	Trimble County	KY	38.5847	-85.4117	CL	ST	RT	N	7350218.978	1	17
1382	HMP&L Station Two Henderson	KY	37.6469	-87.5028	CL	ST	RTID	N	2302384.018	1	17
1355	E W Brown	KY	37.78831	-84.71257	CL	ST	RTID	N	2635917.042	1	17
6018	East Bend	KY	38.9036	-84.8514	CL	ST	RTID	N	2910996.001	1	17
6041	H L Spurlock	KY	38.7	-83.8181	CL	ST	RTID	N	8592709.96	1	17
1356	Ghent	KY	38.7497	-85.035	CL	ST	RTID	N	12606171.66	1	17
1353	Big Sandy	KY	38.1707	-82.6176	CL	ST	RTND	N	4708473.025	1	17
1378	Paradise	KY	37.2608	-86.9783	CL	ST	RTND	N	13334680.44	1	17
1383	Robert A Reid	KY	37.6461	-87.5019	CL	ST		N	199401.998	1	17
6055	Big Cajun 2	LA	30.7261	-91.3692	CL	ST	MULTI	N	10712768.71	1	18
51	Dolet Hills	LA	32.030556	-93.569167	CL	ST	RTID	N	2899536.98	1	18
1606	Mount Tom	MA	42.2806	-72.6055	CL	ST	ON	N	5236	1	19
10417	Indian Orchard Plant 1	MA	42.156898	-72.524153	CL	ST		Y	22664	1	19
1552	C P Crane	MD	39.323604	-76.365119	CL	ST	ON	N	491179.003	1	20
1572	Dickerson	MD	39.2097	-77.4644	CL	ST	ON	N	1189286.984	1	20
1573	Morgantown Generating Plant	MD	38.3592	-76.9767	CL	ST	ON	N	6134203.016	1	20
602	Brandon Shores	MD	39.18	-76.5389	CL	ST	RTID	N	4758982.031	1	20
1702	Dan E Karn	MI	43.644996	-83.840074	CL	ST	MULTI	N	2048505.96	1	22
1831	Eckert Station	MI	42.71839	-84.55808	CL	ST	ON	N	549251.998	1	22
1720	J C Weadock	MI	43.639927	-83.844712	CL	ST	ON	N	1710906.971	1	22
1723	J R Whiting	MI	41.792114	-83.44948	CL	ST	ON	N	1818778.956	1	22
1695	B C Cobb	MI	43.258768	-86.242268	CL	ST	ON	N	1888680.008	1	22
1769	Presque Isle	MI	46.5789	-87.395	CL	ST	ON	N	1892723.032	1	22
1745	Trenton Channel	MI	42.1217	-83.1808	CL	ST	ON	N	2535808.046	1	22
1743	St Clair	MI	42.7642	-82.4719	CL	ST	ON	N	5414558.965	1	22
6034	Belle River	MI	42.7756	-82.495	CL	ST	ON	N	7584834.971	1	22
1710	J H Campbell	MI	42.910296	-86.20074	CL	ST	ON	N	8591310.967	1	22
1733	Monroe (MI)	MI	41.8906	-83.3464	CL	ST	ON	N	15294729.53	1	22
1832	Erickson Station	MI	42.692222	-84.657222	CL	ST	RTID	N	935528.998	1	22
1771	Escanaba	MI	45.771667	-87.063922	CL	ST		N	24555	1	22
1830	James De Young	MI	42.7956	-86.1133	CL	ST		N	51238	1	22
1825	J B Sims	MI	43.0706	-86.235	CL	ST		N	174462.003	1	22
1843	Shiras	MI	46.530598	-87.392206	CL	ST		N	303816.005	1	22
1893	Clay Boswell	MN	47.2611	-93.6528	CL	ST	MULTI	N	7359661.032	1	23
1891	Syl Laskin	MN	47.5306	-92.1619	CL	ST	ON	N	346845.999	1	23
1943	Hoot Lake	MN	46.290641	-96.043252	CL	ST	ON	N	581565.999	1	23
10849	Silver Bay Power	MN	47.286573	-91.260531	CL	ST	ON	Y	605383.003	1	23
10075	Taconite Harbor Energy Center	MN	47.5314	-90.9114	CL	ST	ON	N	1089924.047	1	23
1915	Allen S King	MN	45.03	-92.7786	CL	ST	ON	N	2992941.966	1	23
6090	Sherburne County	MN	45.3808	-93.8931	CL	ST	RTID	Y	13324305.25	1	23
54533	Southern Minnesota Beet Sugar	MN	44.796405	-95.179787	CL	ST		Y	10469	1	23
10863	Archer Daniels Midland Mankato	MN	44.187066	-93.99242	CL	ST		Y	22415	1	23
54211	American Crystal Sugar Moorhead	MN	46.9026	-96.76112	CL	ST		Y	36733.9	1	23
54214	American Crystal Sugar East Grand Forks	MN	47.927202	-97.007153	CL	ST		Y	37350.82	1	23
6065	Iatan	MO	39.4472	-94.98	CL	ST	MULTI	N	9187941.971	1	24
2080	Montrose	MO	38.3114	-93.9348	CL	ST	OC	N	2870968.965	1	24
2161	James River Power Station	MO	37.108611	-93.261944	CL	ST	ON	N	677255.004	1	24
2094	Sibley	MO	39.178319	-94.184445	CL	ST	ON	N	1522599.96	1	24
2107	Sioux	MO	38.915479	-90.290247	CL	ST	ON	N	4964295.008	1	24
2104	Meramec	MO	38.4017	-90.3358	CL	ST	ON	N	5042284.958	1	24
6155	Rush Island	MO	38.131248	-90.263157	CL	ST	ON	N	7869454.992	1	24
2168	Thomas Hill	MO	39.5522	-92.6381	CL	ST	ON	N	7945918.039	1	24
2167	New Madrid	MO	36.5147	-89.5617	CL	ST	ON	N	8332091.028	1	24
2103	Labadie	MO	38.562244	-90.837686	CL	ST	ON	N	15183698.22	1	24
2076	Asbury	MO	37.361315	-94.58926	CL	ST	RC	N	1060478.002	1	24
2132	Blue Valley	MO	39.0919	-94.3261	CL	ST	RTID	N	52487	1	24
6768	Sikeston Power Station	MO	36.8791	-89.6209	CL	ST	RTID	N	1744286.007	1	24
6195	John Twitty Energy Center	MO	37.151706	-93.38804	CL	ST	RTID	N	2416397.997	1	24
57932	Wentzville Assembly & Contiguous	MO	38.82	-90.818056	CL	ST		Y	2395	1	24
6061	R D Morrow	MS	31.2186	-89.394	CL	ST	RTID	N	764201	1	25
55076	Red Hills Generating Facility	MS	33.3761	-89.2183	CL	ST	RTID	N	2471697.954	1	25
2187	J E Corette Plant	MT	45.77562	-108.480999	CL	ST	ON	N	580510.997	1	26
55749	Hardin Generator Project	MT	45.7578	-107.6	CL	ST	RTID	N	679774.997	1	26
6076	Colstrip	MT	45.8831	-106.614	CL	ST	RTID	N	13729879.08	1	26
57914	Sidney MT Plant	MT	47.717222	-104.135556	CL	ST		Y	8812	1	26
6089	Lewis & Clark	MT	47.6785	-104.15665	CL	ST		N	290192.998	1	26
2712	Roxboro	NC	36.4833	-79.0731	CL	ST	MULTI	N	12804923.96	1	27
2718	G G Allen	NC	35.1897	-81.0122	CL	ST	ON	N	2398805.021	1	27
2727	Marshall (NC)	NC	35.5975	-80.9658	CL	ST	ON	N	9408050.046	1	27
8042	Belews Creek	NC	36.2811	-80.0603	CL	ST	ON	N	13431669.05	1	27
2706	Asheville	NC	35.4731	-82.5417	CL	ST	RC	N	1513320.971	1	27
10384	Edgecombe Genco LLC	NC	36.037318	-77.753345	CL	ST	RTID	Y	108885	1	27
54035	Roanoke Valley Energy Facililty I	NC	36.4364	-77.6167	CL	ST	RTID	Y	593073.002	1	27
6250	Mayo	NC	36.5278	-78.8917	CL	ST	RTID	N	2584492.979	1	27
2721	James E. Rogers Energy Complex	NC	35.22	-81.7594	CL	ST	RTID	N	6053808.024	1	27
54276	Univ of NC Chapel Hill Cogen Facility	NC	35.9069	-79.0617	CL	ST		Y	23521	1	27
54755	Roanoke Valley Energy Facility II	NC	36.4364	-77.6167	CL	ST		Y	85206	1	27
2823	Milton R Young	ND	47.065854	-101.213093	CL	ST	OC	N	4557992.024	1	28
2790	R M Heskett	ND	46.8669	-100.8836	CL	ST	ON	N	547268.001	1	28
2824	Stanton	ND	47.286643	-101.331908	CL	ST	ON	N	1307307.955	1	28
2817	Leland Olds	ND	47.280769	-101.321213	CL	ST	ON	N	3453455.016	1	28
56786	Spiritwood Station	ND	46.926423	-98.499713	CL	ST	RTID	Y	32125	1	28
8222	Coyote	ND	47.221447	-101.815722	CL	ST	RTID	N	2745038.039	1	28
6469	Antelope Valley	ND	47.370542	-101.83566	CL	ST	RTID	N	5838431.047	1	28
6030	Coal Creek	ND	47.377743	-101.157058	CL	ST	RTID	Y	8880797.963	1	28
54210	American Crystal Sugar Hillsboro	ND	47.437562	-97.06311	CL	ST		Y	59633.67	1	28
2240	Lon Wright	NE	41.4281	-96.4623	CL	ST	MULTI	N	474483.996	1	29
6096	Nebraska City	NE	40.6214	-95.7764	CL	ST	MULTI	N	8828982.049	1	29
6077	Gerald Gentleman	NE	41.0808	-101.1408	CL	ST	OC	N	8872009.003	1	29
2291	North Omaha	NE	41.32909	-95.94466	CL	ST	ON	N	3060377.049	1	29
59	Platte	NE	40.854765	-98.348222	CL	ST	RTID	N	517872.998	1	29
2277	Sheldon	NE	40.5589	-96.7847	CL	ST	RTID	N	1259591.991	1	29
60	Whelan Energy Center	NE	40.580872	-98.312437	CL	ST	RTID	N	1673670.989	1	29
10862	Archer Daniels Midland Lincoln	NE	40.866463	-96.614486	CL	ST		Y	41886	1	29
57046	Archer Daniels Midland Columbus	NE	41.416442	-97.286328	CL	ST		Y	300397	1	29
2364	Merrimack	NH	43.1411	-71.4692	CL	ST	OC	N	1150061.969	1	30
10043	Logan Generating Company LP	NJ	39.7928	-75.406667	CL	ST	RTID	Y	846076.999	1	31
10566	Chambers Cogeneration LP	NJ	39.693494	-75.485811	CL	ST	RTID	Y	918744.001	1	31
2442	Four Corners	NM	36.69	-108.4814	CL	ST	RC	N	8729343.982	1	32
87	Escalante	NM	35.4159	-108.082	CL	ST	RTID	N	1389686.981	1	32
2451	San Juan	NM	36.8006	-108.4386	CL	ST	RTID	N	10360010.13	1	32
56224	TS Power Plant	NV	40.7461	-116.5297	CL	ST	RTID	N	1424285.971	1	33
2324	Reid Gardner	NV	36.657347	-114.633263	CL	ST	RTID	N	2400950.039	1	33
8224	North Valmy	NV	40.881317	-117.151605	CL	ST	RTID	N	2755910.998	1	33
2554	Dunkirk Generating Plant	NY	42.491467	-79.346631	CL	ST	ON	N	368484.003	1	34
2535	Cayuga Operating Company	NY	42.6028	-76.6336	CL	ST	ON	N	916218.003	1	34
2549	C R Huntley Generating Station	NY	42.97	-78.93	CL	ST	ON	N	1203980.042	1	34
6082	Somerset Operating Co LLC	NY	43.358889	-78.604722	CL	ST	ON	N	1786614.034	1	34
2850	J M Stuart	OH	38.6361	-83.6939	CL	ST	MULTI	N	10336907.31	1	35
2828	Cardinal	OH	40.2522	-80.6486	CL	ST	MULTI	N	10700749.39	1	35
2838	FirstEnergy Lake Shore	OH	41.5356	-81.6419	CL	ST	ON	N	184075.997	1	35
2835	FirstEnergy Ashtabula	OH	41.9086	-80.7697	CL	ST	ON	N	188281.001	1	35
2837	FirstEnergy Eastlake	OH	41.6711	-81.4425	CL	ST	ON	N	1183950.993	1	35
2830	Walter C Beckjord	OH	38.9917	-84.2981	CL	ST	ON	N	1545639.961	1	35
2836	Avon Lake	OH	41.504453	-82.054619	CL	ST	ON	N	2147107.024	1	35
2872	Muskingum River	OH	39.5908	-81.6797	CL	ST	ON	N	3257019.05	1	35
2876	Kyger Creek	OH	38.9144	-82.1289	CL	ST	ON	N	5493736.038	1	35
2832	Miami Fort	OH	39.1128	-84.8036	CL	ST	ON	N	7676345.988	1	35
2866	FirstEnergy W H Sammis	OH	40.5317	-80.6319	CL	ST	ON	N	11920467.99	1	35
6031	Killen Station	OH	38.6903	-83.4803	CL	ST	RTID	N	3820619.017	1	35
2840	Conesville	OH	40.1842	-81.8811	CL	ST	RTID	N	7974026.953	1	35
6019	W H Zimmer	OH	38.8675	-84.2289	CL	ST	RTND	N	7283735.025	1	35
8102	General James M Gavin	OH	38.9347	-82.1158	CL	ST	RTND	N	15867729.45	1	35
2936	Painesville	OH	41.7265	-81.254	CL	ST		N	4808	1	35
54335	Morton Salt Rittman	OH	40.9692	-81.7756	CL	ST		Y	5805.45	1	35
57940	Wausau Paper Middletown	OH	39.519989	-84.406153	CL	ST		Y	8760	1	35
50456	Procter & Gamble Cincinnati Plant	OH	39.175	-84.5042	CL	ST		Y	33030	1	35
2914	Dover	OH	40.520066	-81.46815	CL	ST		N	53670	1	35
2935	Orrville	OH	40.850964	-81.765764	CL	ST		N	261632.998	1	35
6095	Sooner	OK	36.45307	-97.05279	CL	ST	RC	N	5893940.992	1	36
10362	Muskogee Mill	OK	35.7322	-95.2939	CL	ST	RTID	Y	397329.996	1	36
10671	AES Shady Point LLC	OK	35.1931	-94.6458	CL	ST	RTID	Y	1889732.97	1	36
6772	Hugo	OK	34.0158	-95.3206	CL	ST	RTID	N	2460583.002	1	36
165	GREC	OK	36.190278	-95.2894	CL	ST	RTID	N	4674600.041	1	36
2952	Muskogee	OK	35.76135	-95.28732	CL	ST	RTID	N	8085106.953	1	36
6106	Boardman	OR	45.693182	-119.808819	CL	ST	RC	N	3202306.967	1	37
3152	Sunbury Generation LP	PA	40.8361	-76.825	CL	ST	ON	N	93015	1	38
3113	Portland (PA)	PA	40.910205	-75.079398	CL	ST	ON	N	235917.004	1	38
3138	New Castle Plant	PA	40.937939	-80.369007	CL	ST	ON	N	301158.998	1	38
3131	Shawville	PA	41.06755	-78.366228	CL	ST	ON	N	2329488.956	1	38
8226	Cheswick Power Plant	PA	40.5383	-79.7906	CL	ST	ON	N	2921248.982	1	38
3140	Brunner Island	PA	40.096111	-76.6962	CL	ST	ON	N	5944189.97	1	38
3149	PPL Montour	PA	41.0714	-76.6672	CL	ST	RTND	N	6918960.993	1	38
3118	Conemaugh	PA	40.3842	-79.0611	CL	ST	RTND	N	11005160.04	1	38
3136	Keystone	PA	40.6604	-79.3411	CL	ST	RTND	N	11524330.98	1	38
3122	Homer City Generating Station	PA	40.512825	-79.196107	CL	ST	RTND	N	11541845.99	1	38
6094	FirstEnergy Bruce Mansfield	PA	40.6348	-80.4159	CL	ST	RTND	N	17142739.77	1	38
10302	Juniata Locomotive Shop	PA	40.533299	-78.384125	CL	ST		Y	7120	1	38
50284	American Eagle Paper Mills	PA	40.679853	-78.233464	CL	ST		Y	44515	1	38
6249	Winyah	SC	33.331944	-79.357222	CL	ST	MULTI	N	4690240.031	1	40
3264	W S Lee	SC	34.6022	-82.435	CL	ST	ON	N	306752	1	40
3287	McMeekin	SC	34.0556	-81.2172	CL	ST	ON	N	1377732.955	1	40
3298	Williams	SC	33.0158	-79.9297	CL	ST	ON	N	3702495.019	1	40
7210	Cope	SC	33.3644	-81.03	CL	ST	RTID	N	2973345.035	1	40
3297	Wateree	SC	33.8264	-80.6228	CL	ST	RTID	N	3669562.048	1	40
130	Cross	SC	33.371389	-80.113333	CL	ST	RTID	N	11892580.48	1	40
6098	Big Stone	SD	45.303652	-96.510067	CL	ST	RC	Y	2692592.956	1	41
3406	Johnsonville	TN	36.0278	-87.9861	CL	ST	ON	Y	2066891.028	1	42
3396	Bull Run	TN	36.0211	-84.1567	CL	ST	ON	N	3201812.011	1	42
3393	Allen Steam Plant	TN	35.074087	-90.14868	CL	ST	ON	N	4199275.024	1	42
3407	Kingston	TN	35.8992	-84.5194	CL	ST	ON	N	5063432.96	1	42
3403	Gallatin (TN)	TN	36.3156	-86.4006	CL	ST	ON	N	5865701.015	1	42
3399	Cumberland (TN)	TN	36.3903	-87.6539	CL	ST	ON	N	14500956.24	1	42
52048	Vanderbilt University Power Plant	TN	36.145896	-86.803833	CL	ST		Y	10515	1	42
3497	Big Brown	TX	31.8206	-96.0544	CL	ST	OC	N	7258479.974	1	43
3470	W A Parish	TX	29.4828	-95.6311	CL	ST	OC	N	16130293.82	1	43
6147	Monticello	TX	33.0917	-95.0417	CL	ST	ON	N	6537427.014	1	43
6179	Fayette Power Project	TX	29.9172	-96.7506	CL	ST	ON	N	9283719.952	1	43
6146	Martin Lake	TX	32.2606	-94.5706	CL	ST	ON	N	13601314.02	1	43
6136	Gibbons Creek	TX	30.619937	-96.081846	CL	ST	RC	N	2785913.02	1	43
6648	Sandow No 4	TX	30.565871	-97.064032	CL	ST	RC	N	4501016.976	1	43
7902	Pirkey	TX	32.4607	-94.4852	CL	ST	RC	N	5084651.966	1	43
6178	Coleto Creek	TX	28.7128	-97.214167	CL	ST	RC	N	5172880.025	1	43
6181	J T Deely	TX	29.308056	-98.3228	CL	ST	RC	N	5692421.002	1	43
7097	J K Spruce	TX	29.309722	-98.3203	CL	ST	RC	N	9278877.977	1	43
6180	Oak Grove (TX)	TX	31.1803	-96.4866	CL	ST	RC	N	12910945.34	1	43
6183	San Miguel	TX	28.7044	-98.4775	CL	ST	RTID	N	2173032.024	1	43
7030	Twin Oaks Power One	TX	31.091925	-96.69503	CL	ST	RTID	N	2316751.979	1	43
127	Oklaunion	TX	34.0825	-99.1753	CL	ST	RTID	N	3216641.024	1	43
52071	Sandow No 5	TX	30.5681	-97.0614	CL	ST	RTID	N	4188796.963	1	43
